,,,,,,,,,,,,,,,,,,,,,,,
MANTENIMIENTO DE SUBESTACIONES ELECTRICAS,,,,,,,,,,,,,,,,,,,,,,,
"SEMIPRESENCIAL
VARIADORES EN VELOCIDAD 
MIN S/ 450.00",FECHA 1,Oferta S/. 550,Regular  S/. 650,"INICIO DE CURSO
FULL DAY S/550",,,,,,,,,,,,,,,,,,,
,FECHA 2,,Preventa S/. 450,Preventa S/. 450,Preventa S/. 450,Preventa S/. 450,Oferta S/. 550,Oferta S/. 550,Regular  S/. 650,"""INICIO DE CURSO
FULL DAY S/550",,,,,,,,,,,,,
,FECHA 3,,,,,,,,Preventa S/. 450,Preventa S/. 450,Preventa S/. 450,Preventa S/. 450,Preventa S/. 450,Oferta S/. 550,Oferta S/. 550,Regular  S/. 650,"INICIO DE CURSO
FULL DAY S/550",,,,,,
"VIRTUAL
VARIADORES EN VELOCIDAD 
MIN S/ 99.00",FECHA 1,Oferta S/. 150,Regular  S/. 200,"INICIO DE CURSO
FULL DAY S/150",,,,,,,,,,,,,,,,,,,
,FECHA 2,,Preventa S/. 99,Preventa S/. 99,Preventa S/. 99,Preventa S/. 99,Oferta S/. 150,Oferta S/. 150,Regular  S/. 200,"""INICIO DE CURSO
FULL DAY S/150",,,,,,,,,,,,,
,FECHA 3,,,,,,,,Preventa S/. 99,Preventa S/. 99,Preventa S/. 99,Preventa S/. 99,Preventa S/. 99,Oferta S/. 150,Oferta S/. 150,Regular  S/. 200,"INICIO DE CURSO
FULL DAY S/150",,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
EMPALME 3M,,,,,,,,,,,,,,,,,,,,,,,
,,22 al 28 de Junio ,29 al 5 de de Julio ,6 al 12 de Julio ,13 al 19 de Julio ,20 al 26 de Julio ,27  al 02 de Agosto,03 al 09 de Agosto,10 al 16 de Agosto ,17 al 23 de Agosto ,24 al 30 de Agosto,31 al 6 de Sep,7 al 13 de Sep,14 al 20 de Sep,21 al 27 de Sep,28 al 4 de Oct,5 al 11 de Oct,12 al 18 de Oct,19 al 25 de Oct.,26 al 1 de Nov.,2 al 8 de Nov.,9 al 15 de Nov.,16 al 22 de Nov
"SEMIPRESENCIAL
EMPALME AUTOCONTRAIBLE 3 M
MIN S/ 750 ",FECHA 1,Regular S/. 1150,"INICIO DE CURSO
FULL DAY S/850",,,,,,,,,,,,,,,,,,,,
,FECHA 2,Preventa S/. 750,Preventa S/. 750,Preventa S/. 750,Preventa S/. 750,Preventa S/. 750,Preventa S/. 750,Preventa S/. 750,Preventa S/. 750,Preventa S/. 750,Preventa S/. 750,Oferta S/. 850,Oferta S/. 850,Regular S/. 1150,"""INICIO DE CURSO
FULL DAY S/850",,,,,,,,
,FECHA 3,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
PRECIO DEL CURSO: BANCO DE CONDENSADORES ,,,,,,,,,,,,,,,,,,,,,,,
" A. Las fechas del cronograma estan separadas por semanas.
 B. De acuerdo a la semana actual, se van actualizando los precios, los precios pueden tener un descuento hasta oferta exclusiva.
    Ejemplo1: La fecha de hoy es 25 de Julio 
    - Se le indica al cliente que el precio regular del curso es 950 soles, pero estamos en PREVENTA 2 y le dejaremos a 350 soles, se le indica al cliente que la 
       preventa solo es hasta el 26/07
 C. Los precios no incluyen IGV, si el cliente requiere factura se deberá agregar el 18% al monto.
 D. Los montos estan en soles",,,,,,,,,,,,,,,,,,,,,,,
SEMIPRESENCIAL - FECHAS ,,22 al 28 de Junio ,29 al 5 de de Julio ,6 al 12 de Julio ,13 al 19 de Julio ,20 al 26 de Julio ,27  al 02 de Agosto,03 al 09 de Agosto,10 al 16 de Agosto ,17 al 23 de Agosto ,24 al 30 de Agosto,31 al 6 de Sep,7 al 13 de Sep,14 al 20 de Sep,21 al 27 de Sep,28 al 4 de Oct,5 al 11 de Oct,12 al 18 de Oct,19 al 25 de Oct.,26 al 1 de Nov.,2 al 8 de Nov.,9 al 15 de Nov.,16 al 22 de Nov
"BANCO DE CONDENSADORES

MODALIDAD: SEMIPRESENCIAL

PRECIO REGULAR: S/ 950.00","FECHA 1 o CURSO 1:
Fecha de inicio: 07 de julio","PRECIO REGULAR: S/ 950.00
PRECIO PRE VENTA 1: S/ 450.00 
   (Fin preventa 1: 28/06)","PRECIO REGULAR: S/ 950.00
PRECIO OFERTA: S/ 500.00 
     (Fin oferta: 05/07)","INICIO DE CURSO
FULL DAY S/400",,,,,,,,,,,,,,,,,,,
